X,Y,DATA_CREAZ,DENOM_CORR,DENOM_ATTO,ENTE,ID_REG_BEN,NOTE_BENE,RIFER_LEGG,TIPO_BENE,SE_SDO_ROW,icon_url
17.1291388897903,39.3547777814963,2004/01/22,"CIRO' MARINA - Torre Lipuda, T. Nuova (CIRO'' MARINA)",DL 22/01/2004,C726,1042.0000000000000000000000000000000,Rudere,LR 12/04/1990 N. 42,Fortificazione,1042.0000000000000000000000000000000,./0.png
17.1106561726752,39.3682666132759,2004/01/22,CIRO' MARINA - Castello Fondo Sabatini (CIRO' MARINA),DL 22/01/2004,C726,1040.0000000000000000000000000000000,Conservato Restaurato. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1040.0000000000000000000000000000000,./0.png
17.1106561726752,39.3682666132759,2004/01/22,CIRO' MARINA - Torre Capo dell'Alice (CIRO' MARINA),DL 22/01/2004,C726,1041.0000000000000000000000000000000,Rudere. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1041.0000000000000000000000000000000,./0.png
16.7087124545039,39.5283031916801,2004/01/22,CROPALATI - Castello  (CROPALATI),DL 22/01/2004,D180,1278.0000000000000000000000000000000,Rudere. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1278.0000000000000000000000000000000,./0.png
16.7866984503604,39.5882846063831,2004/01/22,CROSIA - Torre Di S. Tecla (CROSIA),DL 22/01/2004,D184,1280.0000000000000000000000000000000,Rudere. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1280.0000000000000000000000000000000,./0.png
16.7805833306218,39.5987499965514,2004/01/22,CROSIA - Castello Mirto (CROSIA),DL 22/01/2004,D184,1279.0000000000000000000000000000000,Rudere,LR 12/04/1990 N. 42,Fortificazione,1279.0000000000000000000000000000000,./0.png
17.0037222267138,39.4244444456256,2004/01/22,CRUCOLI - Castello  (CRUCOLI),DL 22/01/2004,D189,1049.0000000000000000000000000000000,Rudere,LR 12/04/1990 N. 42,Fortificazione,1049.0000000000000000000000000000000,./0.png
17.0029268733318,39.4362800019886,2004/01/22,CRUCOLI - Torre Di S. Venere (CRUCOLI),DL 22/01/2004,D189,1050.0000000000000000000000000000000,Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1050.0000000000000000000000000000000,./0.png
16.6116111064396,39.4493888883894,2004/01/22,LONGOBUCCO - Torre Campanaria (LONGOBUCCO),DL 22/01/2004,E678,1303.0000000000000000000000000000000,Conservato Integrato,LR 12/04/1990 N. 42,Fortificazione,1303.0000000000000000000000000000000,./0.png
16.8623055569273,39.483611107999,2004/01/22,MANDATORICCIO - Castello Località Arso (MANDATORICCIO),DL 22/01/2004,E878,1312.0000000000000000000000000000000,Conservato,LR 12/04/1990 N. 42,Fortificazione,1312.0000000000000000000000000000000,./0.png
16.8360277807059,39.4681666710323,2004/01/22,MANDATORICCIO - Castello  (MANDATORICCIO),DL 22/01/2004,E878,1311.0000000000000000000000000000000,Conservato Parzialmente,LR 12/04/1990 N. 42,Fortificazione,1311.0000000000000000000000000000000,./0.png
17.0407130189727,39.3035434599257,2004/01/22,MELISSA - Castello Valle di Vagno (MELISSA),DL 22/01/2004,F108,1079.0000000000000000000000000000000,Rudere. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1079.0000000000000000000000000000000,./0.png
17.1075555536099,39.2994999969937,2004/01/22,MELISSA - Torre Torre Melissa (MELISSA),DL 22/01/2004,F108,1080.0000000000000000000000000000000,Conservato,LR 12/04/1990 N. 42,Fortificazione,1080.0000000000000000000000000000000,./0.png
16.5863333317743,40.0338611147717,2004/01/22,MONTEGIORDANO - Castello Proprietà Solano (MONTEGIORDANO),DL 22/01/2004,F519,1316.0000000000000000000000000000000,Conservato,LR 12/04/1990 N. 42,Fortificazione,1316.0000000000000000000000000000000,./0.png
16.6775033328334,39.5321937582126,2004/01/22,PALUDI - Cerchia muraria Loc. Castiglioni (PALUDI),DL 22/01/2004,G298,1325.0000000000000000000000000000000,Rudere. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1325.0000000000000000000000000000000,./0.png
16.7888167974163,39.1053021373715,2004/01/22,PETILIA POLICASTRO - Torre Policastro (PETILIA POLICASTRO),DL 22/01/2004,G508,1089.0000000000000000000000000000000,Rudere. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1089.0000000000000000000000000000000,./0.png
16.815888893984,39.486305554564,2004/01/22,PIETRAPAOLA - Castello  (PIETRAPAOLA),DL 22/01/2004,G622,1333.0000000000000000000000000000000,Rudere,LR 12/04/1990 N. 42,Fortificazione,1333.0000000000000000000000000000000,./0.png
16.1336388853298,38.5235555583668,2004/01/22,SAN PIETRO DI CARIDA' - Castello  (SAN PIETRO DI CARIDA''),DL 22/01/2004,I102,1217.0000000000000000000000000000000,Rudere Integrato,LR 12/04/1990 N. 42,Fortificazione,1217.0000000000000000000000000000000,./0.png
16.1952777737092,38.2096944433035,2004/01/22,SANT'ILARIO DELLO IONIO - Castello Condoianni (SANT''ILARIO DELLO IONIO),DL 22/01/2004,I341,1218.0000000000000000000000000000000,Rudere,LR 12/04/1990 N. 42,Fortificazione,1218.0000000000000000000000000000000,./0.png
15.7148333348494,38.2559722262147,2004/01/22,SCILLA - Castello  (SCILLA),DL 22/01/2004,I537,1219.0000000000000000000000000000000,Conservato Integrato,LR 12/04/1990 N. 42,Fortificazione,1219.0000000000000000000000000000000,./0.png
15.8743868661125,38.3450505113987,2004/01/22,SEMINARA - Torre Spinella (SEMINARA),DL 22/01/2004,I600,1221.0000000000000000000000000000000,Rudere. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1221.0000000000000000000000000000000,./0.png
15.8743868661125,38.3450505113987,2004/01/22,SEMINARA - Torre S. Marco (SEMINARA),DL 22/01/2004,I600,1222.0000000000000000000000000000000,Rudere. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1222.0000000000000000000000000000000,./0.png
15.8693333293617,38.3345277760064,2004/01/22,SEMINARA - Castello  (SEMINARA),DL 22/01/2004,I600,1220.0000000000000000000000000000000,Traccia storica,LR 12/04/1990 N. 42,Fortificazione,1220.0000000000000000000000000000000,./0.png
15.8743868661125,38.3450505113987,2004/01/22,SEMINARA - Torre Cappuccini (SEMINARA),DL 22/01/2004,I600,1224.0000000000000000000000000000000,Rudere. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1224.0000000000000000000000000000000,./0.png
