X,Y,DATA_CREAZ,DENOM_CORR,ENTE,ID_REG_BEN,RIFER_LEGG,TIPO_BENE,SE_SDO_ROW,icon_url
15.7148333277968,38.0055555549991,2004/01/22,BAGALADI - S. Nicola in contrada Zurgonà di Motta S. Giovanni,A544,464.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,464.0000000000000000000000000000000,./0.png
15.7067777824284,38.0255555541581,2004/01/22,BAGALADI - S. Antonio di S. Niceto,A544,463.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,463.0000000000000000000000000000000,./0.png
15.7137222218268,38.0044444469978,2004/01/22,BAGALADI - S. Angelo in contrada Tendi di Motta S. Giovanni,A544,468.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,468.0000000000000000000000000000000,./0.png
15.7217777826021,38.0027777761911,2004/01/22,BAGALADI - S. Maria delle Grazie in contrada Sarti di Motta S. Giovanni,A544,466.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,466.0000000000000000000000000000000,./0.png
15.7151111111596,38.0049999983713,2004/01/22,BAGALADI - Palmento fra Zurgonà e Sarti di Motta S. Giovanni,A544,465.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,465.0000000000000000000000000000000,./0.png
15.7245555592915,38.0052777752168,2004/01/22,BAGALADI - S. Pietro in contrada Sarti di Motta S. Giovanni,A544,467.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,467.0000000000000000000000000000000,./0.png
15.9189999978843,37.9505555521701,2004/01/22,BOVA MARINA - S. Niceto di Bova,B099,474.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,474.0000000000000000000000000000000,./0.png
15.8976111125011,37.9911111081846,2004/01/22,BOVA MARINA - S. Maria Assunta di Amendolea,B099,471.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,471.0000000000000000000000000000000,./0.png
15.9023333296978,37.9916666697702,2004/01/22,BOVA MARINA - S. Nicola di Amendolea,B099,473.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,473.0000000000000000000000000000000,./0.png
15.8987222203079,37.9911111125242,2004/01/22,BOVA MARINA - S. Caterina di Amendolea,B099,472.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,472.0000000000000000000000000000000,./0.png
15.8076111147545,38.163888884631,2004/01/22,CARDETO - S. Silvestro di S. Stefano in Aspromonte,B756,460.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,460.0000000000000000000000000000000,./0.png
16.5199166723675,38.7819999987258,2004/01/22,SQUILLACE - S. Maria della Pietà,I929,1430.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,1430.0000000000000000000000000000000,./0.png
16.5314722187112,38.7828333303394,2004/01/22,SQUILLACE - S. Maria del Ponte (Galatropheusa),I929,1427.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,1427.0000000000000000000000000000000,./0.png
16.5608421929181,38.7564287448062,2004/01/22,SQUILLACE - S. Maria De Vetere Squillacio,I929,1428.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,1428.0000000000000000000000000000000,./0.png
16.5410277827448,38.7624444479223,2004/01/22,STALETTI - San Gregorio,I937,1438.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,1438.0000000000000000000000000000000,./0.png
16.5703611139691,38.7601944421713,2004/01/22,STALETTI - San Martino,I937,1429.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,1429.0000000000000000000000000000000,./0.png
16.3073333365381,39.8997222217702,2004/01/22,CASTROVILLARI - Cassano. S. Marco sul Monte S. Angelo,C349,445.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,445.0000000000000000000000000000000,./0.png
16.5692937320644,39.5721148235321,2004/01/22,ROSSANO - S. Maria del Patire,H579,1439.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,1439.0000000000000000000000000000000,./0.png
16.636573192564,39.5711595729916,2004/01/22,ROSSANO - San Marco,H579,1441.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,1441.0000000000000000000000000000000,./0.png
16.9151944474577,39.1464722201464,2004/01/22,SANTA SEVERINA - S.Filomena,I308,1433.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,1433.0000000000000000000000000000000,./0.png
16.9150833291725,39.1481666654063,2004/01/22,SANTA SEVERINA - Battistero,I308,1432.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,1432.0000000000000000000000000000000,./0.png
16.9092777824527,39.1302777786292,2004/01/22,SANTA SEVERINA - S. Maria delle Putelle in contrada Grotteri di S. Severina,I308,449.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,449.0000000000000000000000000000000,./0.png
15.8184444454793,39.7161111118875,2004/01/22,DIAMANTE - S. Maria della Neve di Cirella,D289,444.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,444.0000000000000000000000000000000,./0.png
15.8520555568706,39.7158333325333,2004/01/22,GRISOLIA - Maierà. S. Maria del casale,E185,443.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,443.0000000000000000000000000000000,./0.png
16.1295555592882,39.8594444414341,2004/01/22,MORANO CALABRO - Chiesa di Moranello (Montevergine),F708,439.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,439.0000000000000000000000000000000,./0.png
16.0048333276031,39.6616666626682,2004/01/22,SAN SOSTI - Chiesa in contrada Casalini di S. Sosti,I165,475.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,475.0000000000000000000000000000000,./0.png
16.1612222168465,39.819722219585,2004/01/22,SARACENA - Morano. S. Leone di Sassonia,I423,440.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,440.0000000000000000000000000000000,./0.png
15.8376111138308,39.7511111077949,2004/01/22,VERBICARO - S. Andrea di Cipollina (S. Maria del Cedro),L747,442.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,442.0000000000000000000000000000000,./0.png
15.8434444458657,39.7561111090095,2004/01/22,VERBICARO - S. Giovanni di Abatemarco,L747,441.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,441.0000000000000000000000000000000,./0.png
16.76983333673,39.4447222180319,2004/01/22,PIETRAPAOLA - Chiesa in contrada Cozzo della Chiesa di Bocchigliero presso il Monte Basilicò,G622,447.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,447.0000000000000000000000000000000,./0.png
16.5048333301162,38.5130555511736,2004/01/22,BADOLATO - Chiesa di S. Biase in contrada Marasà presso Guardavalle,A542,477.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,477.0000000000000000000000000000000,./0.png
16.532110510498,38.581029706461,2004/01/22,BADOLATO - S. Maria della Sanità,A542,1434.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,1434.0000000000000000000000000000000,./0.png
16.5985833343416,38.8094722261668,2004/01/22,BORGIA - La Roccelletta del Vescovo,B002,1437.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,1437.0000000000000000000000000000000,./0.png
16.4787552750477,38.8112110611799,2004/01/22,BORGIA - San Fantino,B002,1436.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,1436.0000000000000000000000000000000,./0.png
