X,Y,IDFRANA,PIFF_TY,LAT,LONG,X_COORD,Y_COORD,DIR,icon_url
15.6817251169239,38.1769476140474,"800904600","11","38,17632","15,68172",1085570.76000000001,4246606.23000000045,555.00000000000,./0.png
15.6814867188878,38.1785942972155,"800904700","2","38,17796","15,68149",1085536.59000000008,4246787.73000000045,265.00000000000,./0.png
15.6779474220226,38.1788408626123,"800904800","11","38,17821","15,67795",1085224.12000000011,4246792.65000000037,555.00000000000,./0.png
15.6782728843053,38.1799291679768,"800905000","2","38,1793","15,67827",1085243.91999999993,4246915.66000000015,270.00000000000,./0.png
15.6702189413228,38.1708008771757,"800907300","2","38,17017","15,67022",1084610.71999999997,4245850.07000000030,353.00000000000,./0.png
15.6703358981078,38.1701163418079,"800907400","2","38,16949","15,67033",1084626.47999999998,4245774.73000000045,188.00000000000,./0.png
15.6665216351996,38.1668175339115,"800907500","2","38,16619","15,66652",1084318.31000000006,4245383.94000000041,297.00000000000,./0.png
15.6661685260528,38.1658991360507,"800907600","2","38,16527","15,66617",1084294.69999999995,4245279.62999999989,309.00000000000,./0.png
15.6795342166125,38.1830321868783,"800900500","7","38,1824","15,67953",1085329.60000000009,4247268.53000000026,555.00000000000,./0.png
15.676046585736,38.1912821935072,"800900700","2","38,19065","15,67605",1084957.31000000006,4248163.25999999978,205.00000000000,./0.png
15.6782064643505,38.1970411038053,"800900900","11","38,19641","15,67821",1085100.41999999993,4248817.00000000000,555.00000000000,./0.png
15.6837718420086,38.1970059119534,"800901000","2","38,19637","15,68377",1085588.81000000006,4248848.45000000019,341.00000000000,./0.png
15.6784575195641,38.1810755151737,"800905100","2","38,18044","15,67846",1085250.88999999990,4247044.24000000022,260.00000000000,./0.png
15.670093837776,38.216067165233,"801209700","2","38,21544","15,67009",1084235.96999999997,4250879.98000000045,140.00000000000,./0.png
15.6740944566196,38.2131588969633,"801209800","2","38,21253","15,67409",1084610.13999999990,4250582.16000000015,258.00000000000,./0.png
15.6740523446164,38.212922796956,"801209900","2","38,21229","15,67405",1084608.35000000009,4250555.65000000037,290.00000000000,./0.png
15.6698914138237,38.2133729118999,"801210000","2","38,21274","15,66989",1084239.87999999989,4250579.26999999955,131.00000000000,./0.png
15.6686406795272,38.2114429113568,"801210100","7","38,21081","15,66864",1084145.72999999998,4250356.83999999985,555.00000000000,./0.png
