X,Y,COD_BENE,DENOM_CORR,DENOM_ATTO,ENTE,ID_REG_BEN,LOCALITA,NOTE_BENE,TIPO_BENE,ALLEGATI,SE_SDO_ROW,icon_url
16.0406286626908,39.3611194093532,,PAOLA - Paola  (CSU),Centri storici ex DGR 44/2010,G317,5099.0000000000000000000000000000000,,,Centro storico,,5099.0000000000000000000000000000000,./0.png
17.0939085191582,38.9607048726121,,ISOLA DI CAPO RIZZUTO - Isola Capo Rizzuto,Centri storici ex DGR 44/2010,E339,5128.0000000000000000000000000000000,,,Centro storico,,5128.0000000000000000000000000000000,./0.png
16.3649377348924,38.8577835777169,,MAIDA - Maida,Centri storici ex DGR 44/2010,E834,5211.0000000000000000000000000000000,,,Centro storico,,5211.0000000000000000000000000000000,./0.png
16.1357339461422,39.8435130992878,,MORANO CALABRO - Morano Calabro  (CSU),Centri storici ex DGR 44/2010,F708,5095.0000000000000000000000000000000,,,Centro storico,,5095.0000000000000000000000000000000,./0.png
15.9392706186673,39.517501848086,,CETRARO - Cetraro,Centri storici ex DGR 44/2010,C588,5077.0000000000000000000000000000000,,,Centro storico,,5077.0000000000000000000000000000000,./0.png
16.0663054945074,39.235865124545,,FIUMEFREDDO BRUZIO - Fiumefreddo Bruzio (CSU),Centri storici ex DGR 44/2010,D624,5085.0000000000000000000000000000000,,,Centro storico,,5085.0000000000000000000000000000000,./0.png
16.6109946999741,39.4497395385268,,LONGOBUCCO - Longobucco  (CSU),Centri storici ex DGR 44/2010,E678,5090.0000000000000000000000000000000,,,Centro storico,,5090.0000000000000000000000000000000,./0.png
15.8868696786262,38.0165917510728,,CONDOFURI - Condofuri/Gallicianò (CSU),Centri storici ex DGR 44/2010,C954,5146.0000000000000000000000000000000,,,Centro storico,,5146.0000000000000000000000000000000,./0.png
16.4706234701005,38.4178504552073,,STIGNANO - Stignano (CSU),Centri storici ex DGR 44/2010,I955,5178.0000000000000000000000000000000,,,Centro storico,,5178.0000000000000000000000000000000,./0.png
15.758855425309,37.9811573947021,,MONTEBELLO IONICO - Montebello (CSU),Centri storici ex DGR 44/2010,D746,5159.0000000000000000000000000000000,,,Centro storico,,5159.0000000000000000000000000000000,./0.png
16.0322625737224,38.7253698387611,,BRIATICO - Briatico (CSU),Centri storici ex DGR 44/2010,B169,5181.0000000000000000000000000000000,,,Centro storico,,5181.0000000000000000000000000000000,./0.png
15.9391256610445,38.5517166979429,,NICOTERA - Nicotera  (CSU),Centri storici ex DGR 44/2010,F888,5193.0000000000000000000000000000000,,,Centro storico,,5193.0000000000000000000000000000000,./0.png
16.3210919935305,39.177108932489,,ROGLIANO - Rogliano (CSU),Centri storici ex DGR 44/2010,H490,5105.0000000000000000000000000000000,,,Centro storico,,5105.0000000000000000000000000000000,./0.png
17.0638219946297,39.3806698065567,,CIRO' - Cirò  (CSU),Centri storici ex DGR 44/2010,C725,5126.0000000000000000000000000000000,,,Centro storico,,5126.0000000000000000000000000000000,./0.png
15.9842970688683,38.2910355484059,,OPPIDO MAMERTINA - Oppido Mamertina (CSU),Centri storici ex DGR 44/2010,G082,5161.0000000000000000000000000000000,,,Centro storico,,5161.0000000000000000000000000000000,./0.png
15.8949810331455,38.5862531949476,,JOPPOLO - Ioppolo (CSU),Centri storici ex DGR 44/2010,E389,5187.0000000000000000000000000000000,,,Centro storico,,5187.0000000000000000000000000000000,./0.png
16.2881156085651,38.719063905629,,MONTEROSSO CALABRO - Monterosso Calabro,Centri storici ex DGR 44/2010,F607,5190.0000000000000000000000000000000,,,Centro storico,,5190.0000000000000000000000000000000,./0.png
16.8890448173699,39.4479602444293,,SCALA COELI - Scala Coeli,Centri storici ex DGR 44/2010,I485,5118.0000000000000000000000000000000,,,Centro storico,,5118.0000000000000000000000000000000,./0.png
16.1812294064005,39.3316104611108,,RENDE - Rende (CSU),Centri storici ex DGR 44/2010,H235,5103.0000000000000000000000000000000,,,Centro storico,,5103.0000000000000000000000000000000,./0.png
16.524343073805,38.5685106338855,,BADOLATO - Badolato,Centri storici ex DGR 44/2010,A542,5200.0000000000000000000000000000000,,,Centro storico,,5200.0000000000000000000000000000000,./0.png
16.2001389181913,38.3153318381971,,CANOLO - Canolo vecchio (CSU),Centri storici ex DGR 44/2010,B617,5142.0000000000000000000000000000000,,,Centro storico,,5142.0000000000000000000000000000000,./0.png
16.3421377637863,39.6573657083665,,TERRANOVA DA SIBARI - Terranova da Sibari,Centri storici ex DGR 44/2010,L124,5121.0000000000000000000000000000000,,,Centro storico,,5121.0000000000000000000000000000000,./0.png
16.2662106884066,38.2898813571293,,SIDERNO - Siderno Superiore (CSU),Centri storici ex DGR 44/2010,I725,5176.0000000000000000000000000000000,,,Centro storico,,5176.0000000000000000000000000000000,./0.png
16.2646087884018,38.2364215577315,,LOCRI - Locri  (CSU),Centri storici ex DGR 44/2010,D976,5154.0000000000000000000000000000000,,,Centro storico,,5154.0000000000000000000000000000000,./0.png
16.4550361335464,39.8456862781239,,VILLAPIANA - Villapiana,Centri storici ex DGR 44/2010,B903,5123.0000000000000000000000000000000,,,Centro storico,,5123.0000000000000000000000000000000,./0.png
16.1067078059308,38.3866522072313,,SAN GIORGIO MORGETO - S.Giorgio Morgeto (CSU),Centri storici ex DGR 44/2010,H889,5174.0000000000000000000000000000000,,,Centro storico,,5174.0000000000000000000000000000000,./0.png
15.8376549240683,39.7485699944279,,SANTA MARIA DEL CEDRO - S. Maria del Cedro(CSU),Centri storici ex DGR 44/2010,C717,5109.0000000000000000000000000000000,,,Centro storico,,5109.0000000000000000000000000000000,./0.png
16.6982362809624,39.2560979808858,,SAN GIOVANNI IN FIORE - San Giovanni in Fiore,Centri storici ex DGR 44/2010,H919,5112.0000000000000000000000000000000,,,Centro storico,,5112.0000000000000000000000000000000,./0.png
15.9051349921158,39.8717332064162,,PAPASIDERO - Papasidero,Centri storici ex DGR 44/2010,G320,5100.0000000000000000000000000000000,,,Centro storico,,5100.0000000000000000000000000000000,./0.png
16.0910657300461,39.2754718035844,,FALCONARA ALBANESE - Falconara Albanese (CSU),Centri storici ex DGR 44/2010,D473,5084.0000000000000000000000000000000,,,Centro storico,,5084.0000000000000000000000000000000,./0.png
16.2053250374842,39.8121147693499,,CASTROVILLARI - Castrovillari (CSU),Centri storici ex DGR 44/2010,C349,5075.0000000000000000000000000000000,,,Centro storico,,5075.0000000000000000000000000000000,./0.png
16.7537940784287,39.4175984603259,,BOCCHIGLIERO - Bocchigliero,Centri storici ex DGR 44/2010,A912,5067.0000000000000000000000000000000,,,Centro storico,,5067.0000000000000000000000000000000,./0.png
16.285555326408,39.4460440472738,,LUZZI - Luzzi  (CSU),Centri storici ex DGR 44/2010,E773,5091.0000000000000000000000000000000,,,Centro storico,,5091.0000000000000000000000000000000,./0.png
16.5109722826799,38.7484933107185,,MONTAURO - Montauro,Centri storici ex DGR 44/2010,F432,5212.0000000000000000000000000000000,,,Centro storico,,5212.0000000000000000000000000000000,./0.png
16.1019314458367,38.6760900746794,,VIBO VALENTIA - Vibo Valentia  (CSU),Centri storici ex DGR 44/2010,F537,5199.0000000000000000000000000000000,,,Centro storico,,5199.0000000000000000000000000000000,./0.png
16.2912750285509,38.7840000984095,,FILADELFIA - Filadelfia (CSU),Centri storici ex DGR 44/2010,D587,5184.0000000000000000000000000000000,,,Centro storico,,5184.0000000000000000000000000000000,./0.png
